tid,sn,bind_time,unbind_time
432072f408ce409da973d9bb14eecd67,C0CEE516DB,1713882922,
9f31f64933204c52954752efc2d00ab1,C0CEE512DC,1714063379,
dddd0ea56d9143ec99d240b9a3023ad4,C0CEE51725,1713880226,
3c4b79f7672c4f86a5918eba897ecb2d,C0CEE51361,1713880754,1768186063
ccad881b1cba47059104cd120b8e91cb,C704E504F7,1768186065,
18f81e4e5cab440184b4994272104047,C0CEE512B6,1714065475,1781773775
af3828ef01514521aeda7b7a3aab880f,C0CEE50211,1713953208,
76093eff5a4b4abfaf945472de6790e2,C0CEE50239,1713953947,
5c4c433e9f0946beacd57196b18e22d6,C0CEE51755,1713881729,
71b5723a85c3428990ff042394ae4d02,C0A6E505B6,1714100331,
d015d9c32dae41c186604977b256b752,C0CEE513E2,1714061114,
caa6e60380ab4dc69d53dcc3e50abb47,C0CEE51732,1713882203,
d5a8aaf369a348a890f5c42d428ffc7b,C0CEE51736,1713880091,1778150858
5e29a64f8bff4128a4a003eaebf437b8,C0CEE50F6A,1713873839,
34c32f36c228434ab36c44f24b250d88,C0CEE5140F,1714054229,
d372082d33f9474983f82f700b2b64b9,C0CEE50F76,1713876195,
e933445d35fd4f41beb0578b2acfec7d,C0A6E50322,1714104668,
4057097889da403ba04d77b7998e00da,C0A6E502F0,1713931825,
82c6c8c4bcec4c77a9374a3fb66d5b1a,C0A6E50319,1714118970,1778748894
9979a5bde29249e1a0684fd2c0cbd237,C0CEE50080,1713777430,
7aac4842b9564eb5b75eaf119bab071e,C0CEE510AC,1713770152,
d14c1a5ae452464da60978099d80112d,C0CEE516FA,1713778627,
f04c000be3364e85822b6139674fea39,C0CEE51711,1713778512,
a3d19a1af4e240ca8e415d71344bc040,C0CEE51512,1713600129,
f9149ebcc3884b4a845d6eb4275aa6ed,C0A6E50218,1714272224,
9b3d5b85771a421393c51d4396975a05,C0CEE517D3,1714203582,1778465335
34ef3c1a9edf49f5858335e2f096af53,C0CEE508D1,1714203491,1778644219
d9adc9025c40454089158cb344faa0d5,C0A6E503B0,1713512299,
05859c4274444b3a983c4e2aca3e5e1f,C0A6E504C2,1713666431,
c1dddb8018d44f9c95e0b7d191acf412,C0A6E50481,1713583521,
05c0c72d84994389a53cb6ee95481e09,C0A6E503BF,1713513689,1778496831
405884308084426fbf03aa7bb50b7a1e,C0A6E504F0,1713854168,
8a185dd16da2438bb0e950a1c0ed3888,BD9AE000F1,1713690736,1778658037
d55c6d8e0b1245d49d3802c5b78c9828,C0CEE50FB8,1713606151,1778476692
1b2b1c3017464f84aa1e69095dce080e,C0A6E50103,1713671803,1770097781
438601903e7444c2976831423e36f117,C704E501D4,1770097783,1778580850
e14d2f05308e468ba07d29ca3e26b609,BF1EE51311,1739962679,
b9799b5a48684f7c9fc094b5676e2195,C0CEE50C9A,1713590898,1781764942
07eab7f8bbff4a509c63700691de7f03,C0A6E5023B,1713593813,
de164222c5a74449b396027cdd9b0d29,C0CEE514AC,1713925746,
5515e0be1f71406387a3f7c0ca6121d9,C0CEE50CBC,1720764793,
c63d5f38ca8145ccb1dcc0153615df27,C0CEE51501,1713773551,
4fb20cc2a416476db2855fc6f818377f,C0CEE50CD2,1713686895,
9bdfa281b68e4bd0ac2370aeca390303,C0CEE50DE9,1713953356,
14a67e8f03404e8aad1d6bf550dfa31f,C0CEE50D4F,1713925379,1776668375
ef6c62c19f5142b98cca29420d28acf4,C866E51C6A,1776668378,
2a92fef6957247aebef13b9cbb5c2bfc,C0CEE50E67,1713604247,1778590835
398f56564ecc4d22b0b3c8a99f88c3e8,C0CEE510DF,1713613270,
3c6a22fb826d41a48b5d50e9cc6f5774,C0CEE503B3,1714014940,
cedef42b89ef4403b59b971db816fbd8,C0CEE510E2,1713614785,
636a1145938f427194b867df01e6901a,C0CEE50B15,1713947564,1778648152
28b8b025e6824f2e8b06f2f63841786e,C0CEE50BAC,1714102817,
80d765bb3ab94002a1cda8d6ab944503,C0CEE50BBC,1714188760,1779098627
464502914ef44283a17aa82fce188d1b,C0CEE513B0,1714028139,
56e566a24b5b4b08b931a962195ed08c,BF34E533FC,1713493793,
c5aff0cbbdf14f698a03ea01a95c8a33,C0CEE5110D,1714015602,
7b570dc55131478f80abe62498b60499,C064E501FE,1713864580,
1cb2c81daa014152a5d52817e04f0645,C0CEE5054F,1713759036,
a98cf92297bf43d487c377de7ee02813,C0CEE515EF,1714118033,
340542ddb5504565bef3732d587850df,C0CEE515F3,1714117910,
f347d4bd1213428b9884f6a38b5a51ef,C0CEE50ABB,1714023069,1778493903
5854e84646bf4420ab5cadf75f1c26cb,C0CEE5011E,1713769366,
b902062cf3da4267a48e81075c1fd89d,C0CEE50BEA,1713940213,
d17dec51c4af45a082dd2e27229fb364,C0A6E50624,1713937684,
b59f753e510245599a7aa20cb0fb30c3,BF34E518B3,1713511205,
b3e18cf317304a0b956e7cb8d6535447,C0CEE515A0,1713861798,
8439bc21d1694548b5903ca0a54f5207,C0CEE50F9D,1713875820,1781589265
74c40a6db4ec4b2088b4b40699a03300,C0CEE50F6F,1713874625,
94ffb80e808c40d3b221a3744387f5a3,C0CEE50216,1713954891,
2a41c396774e4c0797fc41fb7e70a777,C444E51FE2,1768029350,
af3bc7af658e44979914ec465a7845c4,C0CEE5123B,1713795701,1768029348
d0bf58453c4a4c1cbe12c073106d61db,C0A6E505CB,1713694063,
ec41404fe07e401c807bf494f3ac2d2d,C0CEE5021A,1713953994,
7bc01f8f19a243a181a1eb40f287bed3,C0A6E505A2,1714102361,
78a997bebcdf489aa300c52d5a07f11b,C0A6E50282,1713694910,
cbeb44c52e5c436a910329a9d7b2e190,C0CEE50099,1713775457,1778642124
de34a0bb70ec496a8e3737a43e88be92,C0CEE51229,1714205507,
0b89a170788a45a5bf8d573b9d73442c,C0CEE51515,1713518386,1778152575
3f2c63f9925c43c48763aec0c1745232,C0CEE516A3,1713863224,
ffd9baca814440bd869892708313780b,C0CEE51186,1713763713,
b8c24ac5f57144a08fedba51de0de9ed,C0CEE51093,1713764411,
b73251831486413189f18c2fa8d470c5,C0A6E501C9,1713601235,
84a1f6e4480e41d7ad7336038410c9c2,C0A6E50106,1713671972,
c7cf94cc345b4e1eb3dc9c0cf09321c1,C0A6E501A3,1713599267,
7cde1d98fd2f4243a5aec1a81f9df38f,C0CEE50CFB,1713686419,
6aa9767572fb473faf5dc653c19690be,BD9AE00DE7,1718185848,
4b16f6e9d5824aab9a64227107c7530e,C0CEE50C22,1713776197,
68abc8bc8be64a3c9ac55b45f46abccf,C0CEE514CD,1713771189,
30837bad71474bdb9ef23ff697ea29fd,C0CEE50C33,1713693177,1768097559
8c8ad83a50874f7b9d09da351c69d090,C704E504F8,1768097561,
e884e7dd2f054c588575814552ddfb3f,C0CEE514B6,1713925769,1778653396
950c16addacb454fbbd6f80c765b513a,C0A6E500AE,1713776725,
2b0b1503328d44389c85d9a9a7d19e22,C0A6E502A8,1714041108,
a67638ad7f3646188806ef739f28c804,C0CEE50EB9,1714017980,
609cd836c5cc446d8e3b5036e9c85faa,C69EE50640,1769660924,1778659613
72e9e67a5aa7411abd44f469554b9707,C0CEE50DDA,1713954350,1769660921
a2a5fc8ef1ea4d1eb09e76891123659a,C0CEE50DCC,1713945524,
a0c2fac653cf416984455201c2fd17fa,C0A6E50270,1713599149,
42c9e99a0aed487f9d4b34c6657f3247,C0CEE50E44,1713605961,1756801432
9003470ec0fd47e8812bcf15fcd450bb,C10EE54558,1756801434,
255e13b5e7224d52840e7821d3bd8d34,C444E51500,1744712733,
ca0d70592dda47d7b15f30089c7e7b6a,C0A6E5025D,1713586618,
7d26dddcae95466588ce7bcb48c288a8,C0CEE51308,1714101414,1778643499
85f3c089cc6946b8bf3e425f3b29d0cd,C0CEE503B6,1714012920,
d5295574b62246ff9a66379c74299453,C0CEE5154A,1713765497,1778377496
29220ec181834079bce7965c4f54bcf4,C0CEE51572,1713931849,
6ca7b67aa1954a179a91980d109f05e9,C0CEE51016,1713762094,1781761238
daaa4b1c41c04ab4a063198201d1bf7e,C0CEE50D83,1713840060,
5d42be35f958474696d9ac580f1b5ec5,C0CEE5130A,1714101496,
dc29b635c8e846548cdd39ed43937c95,C0CEE5016A,1713856381,
97a3b906f34c4de1a22ae998349a9961,C0CEE50FEC,1713758987,
92068dbb42d84d8daf1ccd9799a1f91f,C0CEE50AD9,1713930516,1778644648
2a5606aadfb04a66bb40846fec0eed7d,C69EE5070D,1766471132,
af859721f7ce4363bfaf9cc32813e268,C0CEE51599,1713863419,1766471130
94242f3d7f444d0d81df36f7fe9cd82b,C0CEE50C14,1713942514,
a58526b0469046cfbb9e065e9df23866,BD9AE00CDD,1720161348,
f6a013e17dac498b885494d4190e8154,C0CEE512D9,1714066537,
a77adb295d21448a9b573acad42bee31,C0CEE513EB,1714060973,
4fd3b610febf43c9a586d1b2919cbbbb,C0CEE50F71,1713874799,
46bc53e66167459abc76eb65ba4687dc,C0CEE51404,1714053125,
ba6544eb5f10461ea521f1f7d637d0a1,C0CEE51360,1713881514,
cf7e133c219549df955348416f061e37,C0CEE516CA,1713883421,1778476651
60bdd67d701a4dc7a2946f1d65ad9c94,C0CEE51235,1713794815,
0eb32b809dd74970b5fece8f8c2caa4b,C0A6E50311,1714103527,
cfc3f39f108f4d5a81faec649afa455d,C0A6E50159,1713697108,1778201884
4d3602ce5b6f4ac79231ea817fbb2fec,C0A6E50599,1714097935,1781492223
44b0b954a3434df28ab2af17be46db81,C0A6E502F2,1713923933,
0ecefcde87e34d3495b98b6b61035da6,C0A6E502C4,1713934643,
bb7a4e21f73e44bb880d4d6352b9e108,C658E50093,1767068834,
f3a3612c4bda4c91bdbb0fdc2498ccd0,C0A6E50412,1714308112,1767068832
1b9440a9e95d4661bb1b46354af52791,C0CEE50064,1713776556,
45c8e3adc1a640d3825cd50c0ea94c27,C0CEE51476,1713841198,
ba19546db27a453883d4e7e782b4102c,C0CEE51767,1714012735,
ea85f691adcc4f93ba67ea5a0c189885,C0A6E501B9,1713601396,
befb233d1b7b4dcf8ab3fce1f16b56d9,C0A6E504D5,1713833634,
dc421c2c7e4e44c99e5ec3dafda19179,C0A6E50489,1713584386,
2527e529e65d4befb7293052a389da15,C0A6E501A8,1713601304,
84163c7731744dc0b711249bfe5258fc,C0CEE510B8,1713771014,1778742967
94954ac428fe489d8f37bf77fb7d58b3,C0CEE50097,1713775725,1778236635
f5360f8c5e2d4ad9a6d8825e3f32725c,C0A6E500F8,1713671215,
55147ae6bdc2425691fa894ba69e6235,C0A6E50465,1713583874,1778647912
d8c31dcd963d4537991d91352696a69b,C0CEE5104D,1713860416,1778227082
9635f91bb4154c6496335d8b80059d4e,C0CEE51033,1713860134,
7d1b98abb05a4e8394f2203245b9f68a,C0A6E500CE,1713776878,1778643655
63fb89bfcaed4519be3dfd8e1e8ce00e,C0CEE51085,1713784554,
05ea135db4064090ae4695376cb4572b,C0CEE510F3,1713690426,
0970e3bf8812440ea0b4f4a29f646334,C0CEE50D80,1713839385,
3f1ea27ba469432b967482cb077b3bca,C0CEE50D70,1713840154,
2b963c83e0e94e4d943838d098103fc6,C0CEE509CB,1714214958,
eedc746d10ab4fbe969a2f991ff40e1b,C0CEE512F5,1714103232,
4230d7d74232434c81bf171b86a580ac,C0CEE5131F,1714029048,
29c1e6556dad4cc4991e815f569eca4a,C0CEE5135F,1713928687,
456486c26b434f0bbd56be88068b7626,C0CEE513B7,1714028324,1781761941
c513608bb2fc4edf97e25db222953b0d,C0CEE503DA,1714014605,1766478114
f9d85ea939b44e83a8427a763c4f99ee,C658E50C19,1766478116,
0650d6a7fd634f27a7136859a4ab8914,C0CEE5131E,1714100369,
e3fb7a1f9d0c4d968af1f6084dd334ed,C0CEE5155F,1713766530,
84d7c6eaa076459eb40d01d7d309c333,C0CEE50AFA,1713942641,1778218236
782dcf958124422da0331a1971c79643,C0CEE50172,1713850385,
69d0e710972b4b8dbe2aa9b9d5423065,C69EE506D6,1769850824,
ac8d72d355194a91a6514e43d73b89c3,C0A6E50695,1714214711,1769850822
40d830ebe81d42f8a5cecef33c415737,C0CEE5012A,1713839192,
939327b8d4f040019230dad58b2051a7,BF34E518BD,1713513088,
90447c0b480043d98e41076b6bca246b,C0A6E5054E,1713839941,
f5888752dd4242c69482000740934c13,C0A6E5021B,1713845029,
e1753a52cc574915a43e9a8e563cb107,C0CEE51368,1713879957,
0d7163a3c6c34f5e83ff055bc2b3a2f3,C0CEE50225,1713956048,1768096968
2353f3f5079042fbbe44204c30b104d2,C704E504FB,1768096970,
438729669d6c4991b1820a90352be4fc,C0CEE511EF,1713796678,
805edea98bc54a918e53e3217cbe3789,C0CEE5139B,1713877366,
2955de357f5f41b3931952f646e57ed4,C0CEE511E7,1713796006,
95ff56dcd4e0497bbbca6ed3c7024b34,C0CEE5174E,1713882870,
86b85eddf14940738e53d0ebe313582d,C69EE506D1,1769760915,
f96e5a4caaa948febccb603f74c190ec,C0A6E502C1,1713932984,1769760913
9ee039d1bf254da793c564318cec6efb,C0CEE517D0,1713857016,
962e9a6e0fac41f8bebea13189eefec6,C0CEE5010F,1713854889,
86d62c15d3e94f00a7bca9a0b9c4324e,C0CEE517BF,1713855524,
0746c14e5f3c4d8180ac19f9a7b95f7f,C0CEE516F6,1713774115,
bf3a2f47f1db430daea55c40be3e8300,C0CEE517BC,1713854550,
66ba594ab4424545aca01b968b1f4a80,C0CEE51458,1713842917,1778154150
662d4a55f9fc4b3b976a0aab39f335f9,C0CEE511A3,1713764837,
5583a02401334665b3a9e88cfa1508c1,C0A6E50474,1713584047,
76178f07942547e49a83f0aaebc630df,C0A6E500F4,1713671776,1774682130
b069dad786f14259a684f7c223ea4f1e,C866E516B0,1774682132,
ca7baf5391af42c7a6a702d20c623214,BF34E51B14,1739854441,
575daf0b6c914539b16c299e61376680,C0CEE50E0A,1713514282,1778154832
aa640550bdc94a26a2cd2c709e433bf2,C0A6E500EE,1713672866,
b42ef03193df43139c1ed2a68b272de5,C0CEE50DFE,1713514726,
26524af5bc3c4f4c973136ce83cd9af6,C0CEE50E87,1713516765,
409fa9a3bc694c8891793e1734251a0f,C444E52719,1742882846,
a913f83f962d40ad857f13546d0c9ff6,C0CEE5102D,1713859890,
54cf03512c754441939fa98d4e292b33,C0CEE51177,1713674097,
68a804f72450437cbf92c24bedc8a80e,C0CEE51100,1713613930,
65d6eba75b51459192a5e29e5d986b26,C0CEE50DCF,1713942353,
80b7a7b994fd4f4aa14deb39d35f5f0d,C0CEE50DDD,1713946822,
1fd3aa4b66d44c449ff82cc6e6c7b950,C0CEE510F2,1713613712,
62e18a46655b4b729d288890a8e3d2cf,C0CEE50B40,1713856812,1767059231
ec94226d965141deb42cb158d3edb593,C69EE5071D,1767059234,
a286a8a4720645b58e2af8ecd41f2d5a,C0CEE50E4E,1713610347,1781589183
8b18dcdea5674816b503f7df319afc9a,C0CEE50BCB,1714101548,1778150937
3553333cedb2425d9d4dfef00b080c23,C0CEE512F9,1714100999,1766215154
773e1dac472e42aebe6433d37acd3bd3,C6B8E5021D,1766215156,
18c4b1f0a0264fa6a762bfb98039ac27,C0CEE5162A,1714102237,
bd5478c92c2242a69b00e28b8ce7169d,C0CEE51342,1713928802,
7c5e34e32e3d4c6bb2424563963a6e0a,C0CEE51303,1714029374,
09ee77fe1edb42ef9f97476719f96bfc,C0CEE51571,1713752411,
1895ea93e794475b84a58f09899e3850,C0CEE50BC5,1714117352,
b2bbe298d94d402b8b8b8533bc7492f2,C0CEE509EB,1714215022,
3a0193b36ae744c9b278788efc51be6b,C0CEE50138,1713772728,
036c54d2cbe9494b882028542564115f,C0CEE50AEA,1714023811,
d233f17e5cb042c1801b98a74f2b8ae4,C0A6E506AD,1714214219,
150684f6764e4096a5f0dff031c039fb,C0CEE51796,1713930237,
6b7f012033eb439988891a3d7fe2c64e,C0CEE50AD0,1713930724,1781765224
a2e8c10e684443b4b145c66a5efcd47e,C0CEE5011B,1713769188,
7152d410e95743c694edbef7144fc365,C0A6E50235,1713844297,
e6ce8ae0e1994e70ad0da5555a2ce4b1,C0A6E5053A,1713846350,
b3df894e4eb34f7a80f3c783dd4b8f91,C0CEE50BFC,1713943922,
59319f7a03714f86950ac1f352939a01,C658E505BA,1771989757,
d576000eb94940eea1173210724c17b1,BF1EE50CC0,1763436645,1771989754
db7b257097d743e0ac3291f6832b43e0,BF34E518B0,1713518848,1763436642
86a441e64b8c4361a8e279f9f9fa5839,C10EE5327E,1745971924,
7df55d7740c142288ffd423c9234113d,C0CEE515A7,1713857909,1778659123
c28e490b6d29467c94d3fa9605ed2717,C0CEE513FF,1714050227,
0a07e63b7f9046699907281ed5be65a9,C0CEE516DF,1713955503,
77491230943041269a8aaf94ee560009,C0CEE5021D,1713956311,
b04b6d9d105045cb8a0406625c76b1ed,C0CEE516DE,1713955950,
05fc5d5cacf14a609bc942506636ce47,C0CEE5140C,1714050452,
222e014fd2c74eda9e68543149d91a8e,C0CEE5138C,1713878173,
807d4b9023284815a5d13006d1bbddd1,C0CEE511CC,1713797248,
b8c90490af004b01ae5d2dd739578e7a,C0CEE513FD,1714053466,
2efe6263090a4f2cacd0951d9cb116ec,BF34E51394,1765683275,1765683418
2efe6263090a4f2cacd0951d9cb116ec,BF34E51394,1765683421,1765683423
2efe6263090a4f2cacd0951d9cb116ec,BF34E51394,1765683524,1765683661
3273032ecbec4057be90598c7d83c922,BE92E51325,1765683663,1767430508
7dd9443b8d2d478d95a830168e363790,C6B8E50135,1767430510,
f32c69cf99724a54b312e5e3228c5b51,C0CEE516BC,1713954933,1765683273
c24b974d1eae4901a3b932b4d0204ecd,C0A6E502C9,1713932731,
ed57a02fb013462ebcc1e4f1aa04446f,C0A6E502CF,1713935163,
62d6b37e4078417bbf95727fb84e261e,C0A6E5017F,1713696083,
36ff22d23472478da96d7635683f1421,C0A6E5018A,1713696141,
b33453f2c35245c1b5914f1b1b12b9af,C0CEE51774,1713930683,
7e21973d2d414969852c1fc914caf3f5,C0CEE51509,1713518465,
213e20f9ca504b278d3d87b37c96fb29,C658E50BF0,1766464224,
59fe51e668d3416b9be4dc1b1ee08cbd,C0CEE51519,1713520064,1766464222
21b6abf23d154738b4b6d4904eac0f75,C0CEE5109B,1713766787,
1a53b6e568ca40bfa723777760617b10,C0CEE51099,1713769556,
f9cd6afee2334325bca483ceb9bb25da,C0CEE51211,1714199875,
ec5c2f525241470e92e805e5555bc93f,C0A6E500FD,1713671740,
a51e90f2bb7b4818905794bad7e3b5fa,C0CEE50074,1713771451,
6f6c9dce8ba146a5b7b3d19d02d01373,C0CEE51457,1713842224,
